,fuzz_locations,fuzzed
148,lawerence&yonge,yonge
149,eglinton&glenholme,eglintonwest&glenholme
150,donmillsroad&moatfield,donmills
151,eglinton&laird,eglintoneast&laird
152,andersonave.&buroakave.,andneilson
153,neilson&sheppard,neilson&sheppardeast
154,dufferin&stanstead,dufferin
155,bathurst&drewry,ewry
156,runnymede&stclair,runnymede&ion-eastboundpl&form
157,antibes&bathurst,antibes&b&hurst
158,dundas&shorncliffe,dundaswest&shorncliffe
159,donmills&steeles,donmills
160,wellington&york,wellington&yonge
161,st.clair&weston,weston
162,cactus&drewry,cactus&ewry
163,danforth&linsmore,danforth
164,brenyon&foregateave,brenyonway&foreg&e
165,eglinton&markham,markham
166,lillian&steeles,keele
167,lansdowne&stclair,lansdowne
168,atlantic&king,atlantic&kingwest
169,eglinton&lebovic,eglintoneast&lebovic
170,eglinton&kennedy,kennedy
171,farmgate&victoriapark,victoriapark
172,eglinton&foreman,eglintoneast&forman
173,eastmall&yarn,theeastmall&yarnsouth
174,lansdowne&queen,lansdowne
175,steeles&warden,warden
176,glencovedr&warden,glencove&warden
177,lawrence&markham,markham
178,bathurst&st.clair,b&hurst&clairwest
179,adelaide&shaw,adelaidewest&shaw
180,erskine&mt.pleasant,erskine&mtpleasant
181,jane&lawrence`,jane
182,albion&finch,albion
183,eglinton&ennerdale,eglintonwest&ennerdale
184,st.clair&vaughan,clairwest&vaughan
185,eglinton&orioleparkway,eglintonwest&oriolepkwy
186,dufferin&lawrence,dufferin&lawrencewestnorth
187,sheppard&yongestation,yonge
188,dvictoriapark&eglinton,victoriapark
189,crowtrail&nielson,crowtrail&neilson
190,meadowvale&sheppardav,meadowvale&sheppardeast
191,occonnor&pape,o'connor&pape
192,belfield&kipling,belfield&kipling-etobicokenorthgo&ion
193,morningside&sheppard,morningside&sheppardeast
194,brimely&lawrence,brimley&lawrenceeast
195,westmall&westmallcres,thewestmall&westmallcres
196,finch&finchdenesquare,finchdenesq
197,bloor&runneymade,bloorwest&runnymede
198,eglinton&emmett,emmett
199,oakwood&st.clair,clair&ion
200,arrow&finch,arrow
201,donmills&freshemadow,donmills&freshmeadow
202,finch&martingrove,martingrove
203,bathurst&clarke,b&hurst&clarkwest
204,signalhill&steeles60d,keele
205,dixonrd&kipling,dixon&kipling
206,dubrary96b&wilson,wilson
207,edgarave&wilson,wilson
208,bellamy&lawrence,bellamynorth&lawrenceeast
209,gate&sheppard,meadowvale&sheppardeast
210,lawerence&victoriapark,victoriapark
211,albion&finch36a,albion
212,kingston&lawrence,kingston
213,mccowan&sheppard,mccowan
214,kingstinrd&sandown,kingston&sandown
215,rivalda&sheppard,rivalda
216,meadowvale&sheppard,meadowvale&sheppardeast
217,bermondsy&oconner,bermondsey&o'connor
218,birchmount&sheppard,birchmount&sheppardeast
219,janen&oeddystone,jane
220,eglinton&kenndyroad,kennedy
221,dupontst&shawst,dupont
222,bellamy&eastpartblvd.,bellamynorth&eastparkblvd
223,cartwright&dufferin,dufferin
224,galloway&kingston,kingston
225,galloway&kingstonrd,kingston
226,finch&warden,warden
227,carrier&westmore,carrier
228,morningside&stains,morningside
229,bloor&dundasst,bloorwest&dundaswest
230,donmills&wynforddrive,donmills
231,bathurst&baycrest,b&hurst&baycrest
232,bathurst&neptune,b&hurst&neptune
233,martingrove&vanderbrent,martingrove
234,leslie&steeles,leslie
235,wilson&jane165&96,jane
236,markhamrd&progress,markham&progress
237,ellesmere&pollarddrive,ellesmere
238,carlaw&dickens,carlaw
239,dufferin&eglintonavew,dufferin
240,burlingtoncr.&oakwoodave,burlingtoncresnorth&oakwood
241,highview&oakwoodave,highviewcres&oakwood
242,ballyor&carlaw,carlaw
243,bayview&eglinton,bayview
244,northcliffe&vaughan,danforth
245,midland&sheppard,midland
246,crowtrail&finchstation$neilson,wilson
247,donmills.&eglinton,donmills
248,danforth&pearsonairport$danforth,danforth
249,bathurst&st.clairstation,.clairwest&ion
250,ridge&wilson,wilson
251,finchwest&janest,finchwest&janeeast
252,mountcastlegate&steeles,mountcastleg&e&eeleseast
253,consumerroad&victoriapark,victoriapark
254,martingrove&steelesloop,martingrove
255,fairfax&warden,warden
256,finch&islington,finchley&islington
257,carluke&fifeshire,fifeshire
258,roywood&underhill,roanoke&underhill
259,janest&steeleswest,eeleswest
260,canartic&petrolia,canarctic&petrolia
261,barmac&steeles,barmac&eeleswestsouth
262,finch&middlefield,middlefield
263,dufferin&steeles,dufferin
264,finchstation$morningside&staines,morningside
265,bayview&steeles,bayview
266,keele&rutherford,keele
267,ellesmere&kingstonrd,ellesmere&kingston
268,brimley&finch,brimley
269,dufferin&gibson,dufferin
270,finch&leslie,leslie
271,lesmills&valleybrook,lesmill&valleybrook
272,firebrace&steeles,keele
273,downsviewstation&testonrd,weston
274,bluffwood&steeles,bluffwood&eeleseast
275,king&liberty,atlanticeast&liberty
276,bridletown&warden,warden
277,downsviewstation&yorku,weston&york
278,aukland&dundas,aukland&dundaswestnorth
279,danforth&hollyhedge,danforth
280,keelest&lloydave,keele
281,westonroad&wilsonavenue,weston
282,finch&sentinel,finchwest&sentinel
283,majormackenzie&ridgecrest,majormackenzieeast&ridgecrest
284,runnymeade&st.johns,runnymede&ion-eastboundpl&form
285,eglinton&explorer,horner
286,eglinton&weston,eglintonwest&ion
287,airport&terminal1,airport
288,mccowanloop&steeles,mccowan
289,dollyvarden&ellesmere,dollyvardenblvd&ellesmere
290,mclevin&sewellsroad,mclevin
291,carrier&woodbinedowns,carrier&woodbinedownsblvd
292,islington&steeles,islington
293,allen&transitrd,mabelle
294,midland&stclair,midland
295,hwy27&royalcrest,highway&royalcrest
296,oakwood&eglinton&rogersrd,eglinton&ion
297,dundas&lansdowne,lansdowne
298,finch&neilson,fincheast&neilson
299,passmore&statecrown,passmore
300,queensquay&yonge,yonge
301,richmonde&simcoe,richmondeast&yonge
302,bathurst&douglas,b&hurst&douglas
303,bathurst&nina,b&hurst&nina
304,windermereplace&windermereroad,windermere
305,jane&wilson.,jane&wilson
306,humbercollege&hwy27,humbercollegeblvd&humberlinesouth
307,eglinton&midland,midland
308,enterprise&warden,warden
309,dolleyvarden&ellesmere,ellesmere
310,bay&wellington,bay&wellingtonwest
311,eastmall&westdeane,theeastmall&westdeaneparksouth
312,sheppard&welbeck,sheppardwest
313,strathmore&woodbine,ion&woodbine
314,oakwood&stclair,clair&ion
315,eglinton&westside,eglintonwest
316,brenyanway&sheppard,brenyonway&sheppardeast
317,bloor&parliament,blooreast&parliament
318,pape&queen,pape&queeneast
319,dufferin&queen,dufferin
320,keele&sheppard,keele&sheppardwestnorth
321,kipling&lakeshore,kipling
322,highlandcreek&kingstonrd,kingston
323,keeler&neilson,keele
324,bloor&islington,islington
325,pharmacy&rannockrd,pharmacy&rannock
326,majormackenzie&mccowan,majormackenzieeast&mccowan
327,markhamrd&steeles,markham
328,eglinton&martingrove,eglintonwest&martingrove
329,signalhill&steeles,keele
330,janest&streeleswest,eeleswest
331,morningview&oldfinch,morningside&oldfinch
332,duifferin&tycos,tycos
333,dufferin&samor,dufferin
334,commons&yorku,commons&sheppardeast
335,pape&torrens,pape&torrensnorth
336,burlingtonst&lakeshore,burlington&lakeshoreblvdwest
337,lakeshore&mimico,lakeshoreblvdwest&mimico
338,harshaw&jane,jane
339,dundas&theeastmallcres.,theeastmall
340,rossdean&steeleswest,eeleswest
341,holidaydr.&thewestmall,holiday&thewestmall
342,janest&wilsonav,jane
343,kingstonrd&ling,kingston
344,steeles&tandemrd,eeleswest&tandem
345,janest&steeleswest.,eeleswest
346,steeles&victoriapark,victoriapark
347,finch&kipling,kipling
348,downsviewstation&majormac,albion&pharmacy
349,lawrence&mccowan,mccowan
350,bellamy&ellesmere,ellesmere
351,hwy427&rathburn,hburn&r
352,427$kpsn&hwy27,paulson&trethewey
353,dufferin&finch,dufferin
354,finch&westonroad,weston
355,duplex&eglintonw,duplex&eglintonwest
356,eglintonave&lebovic,eglintoneast&lebovic
357,danforthrd.&midland,danforth&midland
358,evans&royalyork,evans
359,albion&armel,albion
360,eglinton&mt.pleasant,eglintoneast&mtpleasant
361,bayst&college,bay&college
362,markham&sheppard,markham
363,bathurst&roselawn.,b&hurst&roselawn
364,jane&patika,jane
365,corham&eglinton,bellamynorth&eglintoneastnorth-eglintongo&ion
366,bathurst&eglinton,islington
367,brimley&kingstonrd,brimley&kingston
368,durie&morningside,morningside
369,eglinton&mason,eglintoneast&mason
370,dennison&jane,jane
371,lawrence&mt.pleasant,lawrencecres&mtpleasant
372,murrayross&steeles,murrayrosspkwy&sentineleast
373,midland`&steeles,midland
374,dundas&ossington,dundaswest&ossington
375,chatsworth&yonge,yonge
376,driftwood&yewtree,iftwood&yewtreeblvd
377,bathurst&viewmount,b&hurst&viewmountsouth
378,eglinton&renforth,eglintonwest&renforth
379,lawrence&marlee,lawrencewest&marlee
380,kenmark&kennedy,kennedy
381,finch&lslington,finchley&islington
382,broadview&mortimer,broadvieweast&mortimer
383,signet&steeles,keele
384,eglinton&kingson,eglintoneast&kingston
385,arrowrd&shepparedav.,arrow
386,arrowrd&finchwest.,arrow&finchwest
387,canniff&strachan,canniff&rachan
388,churchst&janest,jane
389,eglinton&northcliff,eglinton&ion
390,mccowan&sandhurst,mccowan&sandhurstcir
391,hupfieldtr&sewells,hupfieldtrailwest&sewells
392,aukland&st.albans,evans
393,coxwell&mortimer,coxwell&mortimer-michaelgarronhospital
394,belsize&cleveland,island
395,eglinton&torrance,eglintoneast&torrance
396,kingstonrd.&st.clair,kingston
397,freshmeadow$eglintonstation&townsend,eglintoneast
398,bayview&bobrumbel,bayview
399,mccowan&progress,mccowan
400,kingston&scarbgolfclub,kingston
401,lansdowne&royce,lansdowne
402,settlers&sheppard,settlers&sheppardeast
403,bathurst&lawrence,b&hurst&lawrencewest
404,majormackenzie&markland,majormackenzieeast&markham
405,steeles&steelesloopkipling,kipling
406,parliament&wellesley,parliamentwest&wellesleyeast
407,estate&progress,progress
408,bayst&charles,bay&charleswestsouth
409,arrowroad&finch,arrow
410,dubray&wilsonavenue,wilson
411,sherbourne&wellesley,sherbourne&wellesleyeast
412,glenwaterford&sheppard,sheppardeast
413,leslie&steels,leslie
414,lowerjarvis&queensquay,lowerjarvis&queensquayeast
415,kipling&penleadr,kipling&penlea
416,carrierdrive&woodbinedowns,carrier
417,martingrove&roualcrest,martingrove&royalcrest
418,islington&steele,islington
419,stclairwstation$oakwood&vaughn,oakwood&vaughan
420,richmond&sherbourne,sherbourne
421,millikengostation&steeles,keele
422,bathurst&covington,b&hurst&covington
423,calvington&keele,keele
424,bellamy&eglinton,islington
425,lawrence&victoriapark,lawrenceeast&victoriapark
426,duval&lawrence,duval&lawrencewest
427,lawrence&sage,lawrencewest&sage
428,keele&pond,keele
429,queensway&windmere,thequeensway&windermere
430,o'connor&wakunda,o'connor&wakundapl
431,keele&murrayross,keele
432,finch&morningside,morningside
433,adelaide&yonge,yonge
434,goloop&majormac.,angusglencommunitycentreloop&majormackenzieeast
435,arrowrd&sheppardw,arrow
436,st.clair&warden,warden
437,marilyncres&stclair,clair&ion
438,oakwwod&vaughan,oakwood&vaughan
439,morningside&morningviewtr.,morningside&morningviewtrail
440,blackbirdgate&finch,norfinch
441,bethnealson&wickstead,bethnealson&wicksteed
442,finch&markham,markham
443,albionrd&westonrd,weston
444,eglinton&wynford,wynford
445,quailvalley&steeles,keele
446,janest.&wilsonav.,jane
447,rexleigh&st.clair,rexleigh
448,kenhatch&mccowan,mccowan
449,commander&mccowan,mccowan
450,pharmacy&steelesloop,pharmacy
451,cosburn&durant,cosburn
452,kpsn&hwy427&hwy27,dupont&shaw
453,allanfordrd&sheppard,allanfordwest&sheppardeast
454,ellesmere&military,ellesmere&militarytrailwest
455,finch&scottfield,fincheast&scottfield
456,hupfliedtrail&sewells,hupfieldtrailwest&sewells
457,finch&norfinch,norfinch
458,eglinton&warden,ellington&warden
459,islingtonloop&steele,islington
460,clearviewheights&keele,keele
461,&arrow,arrow
462,finch&sandhurstwest,fincheast&sandhurstcir
463,loop&steeles,keele
464,airport&jetliner,airport
465,finch&pharmacy,pharmacy
466,hupfield&sewells,hupfieldtrailwest&sewells
467,eglinton&mountpleasent,eglintoneast&mountpleasant
468,johngarland&martingrove,johngarlandblvd&martingrove
469,crossland&reddins,crosland&reddins
470,dixon&kingstonrd,dixon&kingston
471,eglintonwest.&martingrove,eglintonwest&martingrove
472,finch&neilsonrd,fincheast&neilson
473,pharmacyave&rannock,pharmacy&rannock
474,antibies&bath,antibes&torresdaleeast
475,eglinton&mountpleasant,eglintoneast&mountpleasant
476,middlefield&steeles,middlefield
477,lawrence&midland,midland
478,mccowan&steelesloop,mccowan
479,janest.&sheppardav.west.,jane
480,pondrd&shoreman,dupont
481,evans&westmall,evans
482,bergamont&islington,bergamot&islington
483,lawrence&portunion,lawrenceeast&portunion
484,sheppard&yorkland,island
485,jane&shepp,jane&sheppardwest
486,lipponcott&westonrd,weston
487,redlea&steeles,keele
488,"hwy427,hwy27&kpsn",ewry
489,dixonrd&skyway,dixon&skyway
490,finchstation$oldfinch&morningviewtrail,morningviewtrail
491,finchstation$pamk&mofibw's,finchwest
492,eglinton&emmet,eglintonwest&emmett
493,morningside&nighstar,morningside
494,henderson&steeles,keele
495,wellesley&yonge,yonge
496,finch&jayzel,finchwest&jayzel
497,avenueroad&st.clair,davean
498,e.liberty&pirandello,eastliberty&pirandello
499,bathurst&castlefield,belfield
500,steeles&weston,weston
501,greencedar&markham,markham
502,lawrence&scarlett,lawrencewest&scarlett
503,pachino&pharmacy,pharmacy
504,briandr&sheppard,brianwest&sheppardeast
505,chettaplace&dixon,chettapl&dixon
506,peterkiaser&steeles,peterkaiserg&e&eeleswest
507,royalyork&westway,royalyork&thewestway
508,anglesley&pinehurstcr.,angleseyblvd&pinehurstcreseast
509,birchmountrd&sheppardavee,birchmount
510,eglinton&markhamrd,markham
511,birchmount&lawrence,birchmount&lawrenceeast
512,coxwell&strathmore,coxwell&ion
513,brenyonway&sewelles,brenyonway&sewells
514,eglinton&pharmacy,eglintonsq&pharmacy
515,morningsideave.&nightstarrd.,morningside
516,janen&oclair,jane
517,allen&sheppard,meadowvale&sheppardeast
518,eglinton&eglintonsquare,eglinton&ion
519,finch&neilsoncrowtrail,finch&ion
520,danforthave$terminal1&danforthrd,danforth
521,"onyonge,betweenwilson&yongeblvd.",yonge
522,keelest&yore,keele&yore
523,clareport&international,airport
524,militarytrail&uoftloop,militarytrail&neilson
525,sheppard&warden,warden
526,finchislington&kipling,kipling
527,kipling&widdicombehill,kipling&widdicombehillblvd
528,esplanade&jarvis,lowerjarviseast&theesplanade
529,ossington&queen,ossington&queenwestnorth
530,cedar&eglinton,cedar&eglintoneast
531,danforth&stclair,danforth
532,antrim&kennedy,kennedy
533,knobhill&oak,knobhill&weston
534,kipling&westhumber,kipling&westhumberblvd
535,alness&finch,alness&finchwest
536,eglinton&nairn,eglintonwest&nairn
537,acorn&dundas,acorn&dundaswest
538,maxome&steels,fincheast&maxomeeast
539,dosco&islington,islington
540,hullmar&jand,hullmar&jane
541,antibies&bathurst,antibes&b&hurst
542,finch&sentinel36a,finchwest&sentinel
543,finch&sentinel36b,finchwest&sentinel
544,kingstonrd&manse,kingston&manse
545,finch&yorkgate36b,finch&ion
546,linkwoodlane&spanbridge,aines
547,johndrury&sheppard,johnury&sheppardwest
548,cosburn&westlake,cosburn
549,oldwestonrd&rockwellcrt,weston
550,bay&wellesley,bay&wellesleywestsouth
551,harrisonrd&yorkmills,harrison&yorkmills
552,guildwood&livingston,guildwoodpkwy&livingston
553,broadview&oconnor,broadview&o'connor
554,gunnsroad&westonroad,weston
555,chalkfarm&jane,jane
556,ardwick36a&finch,ardwickblvd&finchwest
557,kingstonrd&sandown,kingston&sandown
558,downsviewstation&teston,weston
559,downsviewstation&steeles,keele
560,dufflawrd&lawrence,dufflaw&lawrencewest
561,lawrenceweststation-weston&oak,weston
562,finch&mgrv36b,norfinch
563,mapleleaf&stella,mapleleaf
564,antlar&symington,antler&symington
565,bathurst&sheppard,b&hurst&sheppardwest
566,culford&lawrence,culford&lawrencewestnorth
567,finch&tiffield,fincheast&tiffield
568,pacchino&victoriapark,victoriapark
569,markhamrd&passmore,markham&passmore
570,steeles&townsend,eeleseast&townsend
571,bloor&dufferibn,bloorwest&dufferin
572,reben&weston,reuben&weston
573,finchave&janestreet,jane
574,queen&yonge,yonge
575,arrow36b&finch,arrow
576,conlins&ellesnmere,conlins&ellesmere
577,donmills&lawrence,donmills&lawrenceeastsouth
578,hwy27&steeles,keele
579,steeles&villagegate,eeleswest&villageg&e
580,finch&tangiers,finchwest&tangiers
581,eglinton&hyw27,eglintonwest&glenarden
582,islandrd&portunion,island&portunion
583,alnessrd.&steels,aines
584,"anglesleybetweenislington&royalyorkrd,",islington
585,dixonrd&islington,dixon&islington
586,bloor&dundas,bloorwest&dundaswest
587,ingramdr&keele,ingram&keele
588,broadview&cosburn,cosburn
589,queen&sherbourne,sherbourne
590,cougarcourt&eglinton,eglintoneast
591,finch&midland,midland
592,jane&westonrd,jane&weston
593,bloor&runnymede,bloorwest&runnymede
594,driftwood&finch,norfinch
595,canoe&oasis,jane
596,blackcreek&eglinton,blackcreek&eglintonwest
597,lowerjarvis&queenquays,lowerjarvis&queensquayeast
598,finch&grantbrooke,finchwest&grantbrook
599,jane&stanley,jane
600,bathurstave&stclairave,clair&jane
601,bathurstst&danbyave,b&hurst&danby
602,eglinton&kingstonrd,kingston
603,kipling&queensway,kipling&thequeensway
604,macdonell&queen,macdonell&queenwestnorth
605,nmarilyncres&stclair,fenmar
606,hyw27&royalcrest,highway&royalcrest
607,hwy16&woodbine,norway&woodbine
608,queensquay&sherbourne,sherbourne
609,caledonai&norman,caledonia&norman
610,bay&bloor,bay&bloorwest-bay&ion
611,overleablvd&williammorgandrive,overleablvd&williammorgan
612,arnprior&brimley,brimley
613,avenue&wilson,wilson
614,glenwatford&sheppard,sheppardeast
615,kingston&payzac,kingston
616,kildonan&kingstonrd,kildonan&kingston
617,bombayloop$church&richmond,church
618,queenst&wineva,queeneast&wineva
619,finch&sandhurstcircle,fincheast&sandhurstcir
620,crowtrail&finchstation-neilson,wilson
621,macdonnell&queen,macdonell&queenwestnorth
622,queenquay&sherbourne,sherbourne
623,humberwooddr&kingsplate,humberwoodblvd&kingspl&ecres
624,palmdale&sheppard,palmdale&sheppardeast
625,elfreda&st.clair,yonge&claireast-.clair&ion
626,donmills&fairviewmallrd,donmills
627,14thave&warden,warden
628,gerrard&woodbine,gerrardeast&woodbine
629,cloverleaf&warden,warden
630,finch&finchdenesq,finchdenesq
631,oakwood&vaugh,oakwood&vaughan
632,eglinton&mtpleasant,eglintoneast&mtpleasant
633,albion&walsh,albion
634,ellesmere&mornelle,ellesmere&mornellecrt
635,keele&lawrenceave,keele
636,yonge&yorkville,yonge
637,greyrd&lawrence,grey&lawrencewest
638,bay&queendquay,bay&queensquaywestnorth-jacklaytonferryterminal
639,eglinton&redpath,eglintoneast&redp&h
640,cityview&dixonrd,cityview&dixon
641,carlaw&lakeshore,carlaw
642,guildwood&kingston,kingston
643,27&dundas$finchvia427,fincheast
644,finch&longmorestreet,finch&ion
645,aularge&donmills,donmills
646,401&warden,warden
647,eglinton&mccowan,mccowan
648,oldfinch&valleycenterdrive,oldfinch&valleycentrewest
649,duplexave&eglintonavew,duplex&eglintonwest
650,coxwell&lowergerrard,coxwell&lowergerrardeast
651,passmore&steeles,passmore
652,brentclifferd&eglintonavee,brentcliffe&eglintoneast
653,jarvis&richmond,birchmount
654,applecreek&warden,warden
655,kennedyrd&mcnicoll,kennedy&mcnicoll
656,kennedyrd&mcnicollave,mcnicoll
657,401&westonrd,weston
658,allingham&wilson,wilson
659,johnstoner&mclevin,mclevin
660,401&weston,weston
661,danforth&lawrence,danforth
662,finch&willowdale,fincheast&willowdale
663,alness&steeles,alness&eeleswestsouth
664,lawrence&marleeave,lawrencewest&marlee
665,morningside&morningview,morningside&morningviewtrail
666,sliverstar&steeles,keele
667,silverstar&steeles,keele
668,clocktowerroad&donmills,clocktower&donmills
669,barmac&steele,barmac&eeleswestsouth
670,denison&westonrd,weston
671,finch&islington36b,islington
672,acadia&steeles,keele
673,driftwood&finchavenue,norfinch
674,dovehouse&keelest,keele
675,ortonacrt&rivermede,ormont
676,caldow&roselawn,marlee&roselawn
677,elana&finch,elana&finchwest
678,hullmar&stongcrt,hullmar&monacocrt
679,oldwestonrd&dufferin&rogers,weston
680,eglington&martingrove,lexington&martingrove
681,donmills&sheppard,donmills
682,bay&king,bay&kingwest
683,eglinton&islington,eglintonwest&islington
684,martingrove&vanderbent,martingrove
685,bathurst&greenwin,b&hurst&greenwinvillage
686,eglinton&vic.park,eglintonsq&victoriapark
687,atlantic&eastliberty,atlanticeast&liberty
688,bloorst&yongest,yonge
689,bishop&yonge,yonge
690,birchmount&sadler,birchmount
691,disxon&kipling,dixon&kipling
692,coehill&ellisgardens,coehill
693,ellesmere&valleywoods,valleywoods
694,martingroverd&vanderbrentcr,martingrove
695,kingstonroad&scarboroughgolfclub,kingston
696,driftwood108a&jane,jane
697,eglintonavee&redpathavenue,eglintoneast
698,pearsoninternationalairport.&terminal-3,airport
699,kipling&markbrook,kipling
700,kingstonrd&stclair,kingston
701,545westmall&westmall,thewestmall&westmallcres
702,alliance&rockcliffe,alliance&rockcliffeblvd
703,danforthave&terminal1,danforth
704,glenholme&vaughan,louise&vaughan
705,8thstreet&lakeshore,horner
706,finch&yonge,yonge
707,parkwayforest&sheppard,parkwayforesteast&sheppardeast
708,lawrenceavew&pine,lawrencewest&pine
709,eglinton&jonesvillecr,eglintoneast&jonesvillecres
710,avenue&stclair,davean
711,dufferin&janeosler,dufferin&janeoslerblvd-yorkdaleshoppingcentre
712,gleneverest&kingstonrd,gleneverest&kingston
713,finch&humbercollege,finchw&humbercollegeblvd
714,liberty&queen,parliament&queeneast
715,islingtonloop&steelesave.,islington
716,janestreet&tretheweydr.,jane
717,finchstation&keele,keele
718,janestreet&steelesave.,jane
719,guildwoodparkway&rowatson,guildwoodpkwy&row&son
720,brimley&kingstonrs,brimley&kingston
721,martingroveloop&steeles,martingrove
